ticket_id,subject,priority,created_at,sla_hours,status,comments,hours_open,sla_remaining,sla_percentage_used,hours_open_formatted,sla_remaining_formatted,breach_risk_score,breach_reason
TKT-001,Login fails for enterprise users,High,2026-06-10 09:00:00,8,Open,Multiple users reporting authentication issues with SSO,102.60990272194445,-94.60990272194445,1282.6237840243057,102h 36m,-94h 36m,10,SLA already breached by 94.6 hours
TKT-002,Database connection timeout,Medium,2026-06-12 14:30:00,24,Open,Intermittent connection drops during peak hours,49.109902721944444,-25.109902721944444,204.6245946747685,49h 6m,-25h 6m,9,SLA already breached by 25.1 hours
TKT-003,Payment gateway not responding,Critical,2026-06-13 08:00:00,4,Open,Customers unable to complete transactions,31.609902721944447,-27.609902721944447,790.2475680486111,31h 36m,-27h 36m,10,SLA already breached by 27.6 hours
TKT-004,UI rendering issue on mobile,Low,2026-06-11 10:00:00,48,Open,Dashboard elements misaligned on iOS devices,77.60990272194445,-29.60990272194445,161.68729733738428,77h 36m,-29h 36m,8,SLA already breached by 29.6 hours
TKT-005,API rate limiting errors,High,2026-06-13 16:00:00,12,Open,Third-party integrations failing due to rate limits,23.609902721944447,-11.609902721944447,196.74918934953706,23h 36m,-11h 36m,10,SLA already breached by 11.6 hours
TKT-006,Email notifications delayed,Medium,2026-06-09 11:00:00,72,Open,Users not receiving password reset emails,124.60990272194445,-52.60990272194445,173.06930933603394,124h 36m,-52h 36m,9,SLA already breached by 52.6 hours
TKT-007,File upload corrupted,High,2026-06-13 06:00:00,6,Open,Large files (>10MB) getting corrupted during upload,33.609902721944444,-27.609902721944444,560.1650453657408,33h 36m,-27h 36m,10,SLA already breached by 27.6 hours
TKT-008,Search functionality broken,Low,2026-06-12 09:00:00,36,Open,Search returns no results for known items,54.609902721944444,-18.609902721944444,151.69417422762345,54h 36m,-18h 36m,8,SLA already breached by 18.6 hours
TKT-009,SSL certificate expiring soon,Critical,2026-06-14 00:00:00,2,Open,"Certificate expires in 48 hours, needs renewal",15.609902721944444,-13.609902721944444,780.4951360972221,15h 36m,-13h 36m,10,SLA already breached by 13.6 hours
TKT-010,User profile update fails,Medium,2026-06-13 12:00:00,16,Open,Changes not saving to database,27.609902721944447,-11.609902721944447,172.56189201215278,27h 36m,-11h 36m,9,SLA already breached by 11.6 hours
